alpha,example size,test accuracy,training accuracy
0.25,249,0.7054108216432866,0.5835010060362174
0.5,498,0.9579158316633266,0.772635814889336
0.75,747,0.9278557114228457,0.8350100603621731
1.0,996,0.9418837675350702,0.9456740442655935
