alpha,example size,test accuracy,training accuracy
0.25,125,0.561122244488978,0.5110663983903421
0.5,250,0.7054108216432866,0.5835010060362174
0.75,375,0.7915831663326653,0.6438631790744467
1.0,499,0.9579158316633266,0.7746478873239436
